id,Name,Department,Salary,Phone
101,Nivedh K,IT,40000,9574835728
102,Gayathri P,GIS,35000,9732257683
103,Anjali R,HR,30000,9847012356
104,Rahul M,Finance,42000,9038654127
105,Sneha S,Marketing,37000,9546123789
106,Arjun B,IT,45000,8921567345
107,Meera K,GIS,36000,9967124583
108,Ajay V,Data Science,55000,9876213456
109,Diya T,HR,32000,9687123459
110,Harish G,IT,41000,9785123674
111,Kavya R,Finance,38000,9658741236
112,Akhil P,Data Science,52000,9038451276
113,Riya L,Marketing,34000,9745628134
114,Adarsh S,GIS,39000,9887452310
115,Neha K,HR,31000,9645327812
